Iteration;Value;Population;Vector_len;Test;Mutation
22;6.787602516244995e-05;200;4;michalewicz;de_best_2
23;6.787602516244995e-05;200;4;michalewicz;de_best_2
24;6.787602516244995e-05;200;4;michalewicz;de_best_2
25;6.787602516244995e-05;200;4;michalewicz;de_best_2
26;6.787602516244995e-05;200;4;michalewicz;de_best_2
27;6.787602516244995e-05;200;4;michalewicz;de_best_2
28;6.787602516244995e-05;200;4;michalewicz;de_best_2
29;6.787602516244995e-05;200;4;michalewicz;de_best_2
30;6.787602516244995e-05;200;4;michalewicz;de_best_2
31;6.787602516244995e-05;200;4;michalewicz;de_best_2
32;6.787602516244995e-05;200;4;michalewicz;de_best_2
33;6.787602516244995e-05;200;4;michalewicz;de_best_2
34;6.787602516244995e-05;200;4;michalewicz;de_best_2
35;6.787602516244995e-05;200;4;michalewicz;de_best_2
36;6.787602516244995e-05;200;4;michalewicz;de_best_2
37;6.787602516244995e-05;200;4;michalewicz;de_best_2
38;6.787602516244995e-05;200;4;michalewicz;de_best_2
39;6.787602516244995e-05;200;4;michalewicz;de_best_2
40;6.787602516244995e-05;200;4;michalewicz;de_best_2
41;6.787602516244995e-05;200;4;michalewicz;de_best_2
42;6.787602516244995e-05;200;4;michalewicz;de_best_2
43;6.787602516244995e-05;200;4;michalewicz;de_best_2
44;6.787602516244995e-05;200;4;michalewicz;de_best_2
45;6.787602516244995e-05;200;4;michalewicz;de_best_2
46;6.787602516244995e-05;200;4;michalewicz;de_best_2
47;6.787602516244995e-05;200;4;michalewicz;de_best_2
48;6.787602516244995e-05;200;4;michalewicz;de_best_2
49;6.787602516244995e-05;200;4;michalewicz;de_best_2
50;6.787602516244995e-05;200;4;michalewicz;de_best_2
51;6.787602516244995e-05;200;4;michalewicz;de_best_2
52;6.787602516244995e-05;200;4;michalewicz;de_best_2
53;6.787602516244995e-05;200;4;michalewicz;de_best_2
54;6.787602516244995e-05;200;4;michalewicz;de_best_2
55;6.787602516244995e-05;200;4;michalewicz;de_best_2
56;4.1760836653970124e-05;200;4;michalewicz;de_best_2
57;4.1760836653970124e-05;200;4;michalewicz;de_best_2
58;4.1760836653970124e-05;200;4;michalewicz;de_best_2
59;4.1760836653970124e-05;200;4;michalewicz;de_best_2
60;4.1760836653970124e-05;200;4;michalewicz;de_best_2
61;4.1760836653970124e-05;200;4;michalewicz;de_best_2
62;4.1760836653970124e-05;200;4;michalewicz;de_best_2
63;4.1760836653970124e-05;200;4;michalewicz;de_best_2
64;4.1760836653970124e-05;200;4;michalewicz;de_best_2
65;4.1760836653970124e-05;200;4;michalewicz;de_best_2
66;4.1760836653970124e-05;200;4;michalewicz;de_best_2
67;4.1760836653970124e-05;200;4;michalewicz;de_best_2
68;4.1760836653970124e-05;200;4;michalewicz;de_best_2
69;4.1760836653970124e-05;200;4;michalewicz;de_best_2
70;4.1760836653970124e-05;200;4;michalewicz;de_best_2
71;4.1760836653970124e-05;200;4;michalewicz;de_best_2
72;4.1760836653970124e-05;200;4;michalewicz;de_best_2
73;4.1760836653970124e-05;200;4;michalewicz;de_best_2
74;4.1760836653970124e-05;200;4;michalewicz;de_best_2
75;4.1760836653970124e-05;200;4;michalewicz;de_best_2
76;4.1760836653970124e-05;200;4;michalewicz;de_best_2
77;4.1760836653970124e-05;200;4;michalewicz;de_best_2
78;4.1760836653970124e-05;200;4;michalewicz;de_best_2
79;4.1760836653970124e-05;200;4;michalewicz;de_best_2
80;4.1760836653970124e-05;200;4;michalewicz;de_best_2
81;4.1760836653970124e-05;200;4;michalewicz;de_best_2
82;4.1760836653970124e-05;200;4;michalewicz;de_best_2
83;4.1760836653970124e-05;200;4;michalewicz;de_best_2
84;4.1760836653970124e-05;200;4;michalewicz;de_best_2
85;4.1760836653970124e-05;200;4;michalewicz;de_best_2
86;4.1760836653970124e-05;200;4;michalewicz;de_best_2
87;4.1760836653970124e-05;200;4;michalewicz;de_best_2
88;4.1760836653970124e-05;200;4;michalewicz;de_best_2
89;4.1760836653970124e-05;200;4;michalewicz;de_best_2
90;4.1760836653970124e-05;200;4;michalewicz;de_best_2
91;4.1760836653970124e-05;200;4;michalewicz;de_best_2
92;4.1760836653970124e-05;200;4;michalewicz;de_best_2
93;4.1760836653970124e-05;200;4;michalewicz;de_best_2
94;4.1760836653970124e-05;200;4;michalewicz;de_best_2
95;4.1760836653970124e-05;200;4;michalewicz;de_best_2
96;4.1760836653970124e-05;200;4;michalewicz;de_best_2
97;4.1760836653970124e-05;200;4;michalewicz;de_best_2
98;4.1760836653970124e-05;200;4;michalewicz;de_best_2
99;4.1760836653970124e-05;200;4;michalewicz;de_best_2
0;0.005654215026168918;300;4;michalewicz;de_best_2
1;0.0031182913601952023;300;4;michalewicz;de_best_2
2;0.0031182913601952023;300;4;michalewicz;de_best_2
3;0.0031182913601952023;300;4;michalewicz;de_best_2
4;0.0011191958322843143;300;4;michalewicz;de_best_2
5;0.00019232262655211052;300;4;michalewicz;de_best_2
6;0.00019232262655211052;300;4;michalewicz;de_best_2
7;0.00019232262655211052;300;4;michalewicz;de_best_2
8;0.00018806376722457774;300;4;michalewicz;de_best_2
9;0.00018806376722457774;300;4;michalewicz;de_best_2
10;0.00018806376722457774;300;4;michalewicz;de_best_2
11;0.00018806376722457774;300;4;michalewicz;de_best_2
12;0.00018806376722457774;300;4;michalewicz;de_best_2
13;0.00018806376722457774;300;4;michalewicz;de_best_2
14;0.0001335174897253398;300;4;michalewicz;de_best_2
15;0.0001335174897253398;300;4;michalewicz;de_best_2
16;0.0001335174897253398;300;4;michalewicz;de_best_2
17;0.0001335174897253398;300;4;michalewicz;de_best_2
18;0.0001335174897253398;300;4;michalewicz;de_best_2
19;0.0001335174897253398;300;4;michalewicz;de_best_2
20;0.0001335174897253398;300;4;michalewicz;de_best_2
21;0.0001335174897253398;300;4;michalewicz;de_best_2
22;0.0001335174897253398;300;4;michalewicz;de_best_2
23;0.0001335174897253398;300;4;michalewicz;de_best_2
24;0.0001335174897253398;300;4;michalewicz;de_best_2
25;0.0001335174897253398;300;4;michalewicz;de_best_2
26;0.0001335174897253398;300;4;michalewicz;de_best_2
27;0.0001335174897253398;300;4;michalewicz;de_best_2
28;0.0001335174897253398;300;4;michalewicz;de_best_2
29;0.0001335174897253398;300;4;michalewicz;de_best_2
30;0.0001335174897253398;300;4;michalewicz;de_best_2
31;0.0001335174897253398;300;4;michalewicz;de_best_2
32;0.0001335174897253398;300;4;michalewicz;de_best_2
33;0.0001335174897253398;300;4;michalewicz;de_best_2
34;0.0001335174897253398;300;4;michalewicz;de_best_2
35;0.0001335174897253398;300;4;michalewicz;de_best_2
36;0.0001335174897253398;300;4;michalewicz;de_best_2
37;0.0001335174897253398;300;4;michalewicz;de_best_2
38;0.0001335174897253398;300;4;michalewicz;de_best_2
39;0.0001335174897253398;300;4;michalewicz;de_best_2
40;0.0001335174897253398;300;4;michalewicz;de_best_2
41;0.0001335174897253398;300;4;michalewicz;de_best_2
42;0.0001335174897253398;300;4;michalewicz;de_best_2
43;0.0001335174897253398;300;4;michalewicz;de_best_2
44;0.0001335174897253398;300;4;michalewicz;de_best_2
45;0.0001335174897253398;300;4;michalewicz;de_best_2
46;0.0001335174897253398;300;4;michalewicz;de_best_2
47;0.0001335174897253398;300;4;michalewicz;de_best_2
48;0.0001335174897253398;300;4;michalewicz;de_best_2
49;0.0001335174897253398;300;4;michalewicz;de_best_2
50;0.0001335174897253398;300;4;michalewicz;de_best_2
51;0.0001335174897253398;300;4;michalewicz;de_best_2
52;0.0001335174897253398;300;4;michalewicz;de_best_2
53;0.0001335174897253398;300;4;michalewicz;de_best_2
54;0.0001335174897253398;300;4;michalewicz;de_best_2
55;0.0001335174897253398;300;4;michalewicz;de_best_2
56;0.0001335174897253398;300;4;michalewicz;de_best_2
57;0.0001335174897253398;300;4;michalewicz;de_best_2
58;0.0001335174897253398;300;4;michalewicz;de_best_2
59;0.0001335174897253398;300;4;michalewicz;de_best_2
60;0.0001335174897253398;300;4;michalewicz;de_best_2
61;0.0001335174897253398;300;4;michalewicz;de_best_2
62;0.0001335174897253398;300;4;michalewicz;de_best_2
63;0.0001335174897253398;300;4;michalewicz;de_best_2
64;0.0001335174897253398;300;4;michalewicz;de_best_2
65;0.0001335174897253398;300;4;michalewicz;de_best_2
66;0.0001335174897253398;300;4;michalewicz;de_best_2
67;0.0001335174897253398;300;4;michalewicz;de_best_2
68;0.0001335174897253398;300;4;michalewicz;de_best_2
69;0.0001335174897253398;300;4;michalewicz;de_best_2
70;0.0001335174897253398;300;4;michalewicz;de_best_2
71;0.0001335174897253398;300;4;michalewicz;de_best_2
72;0.0001335174897253398;300;4;michalewicz;de_best_2
73;0.0001335174897253398;300;4;michalewicz;de_best_2
74;0.0001335174897253398;300;4;michalewicz;de_best_2
75;0.0001335174897253398;300;4;michalewicz;de_best_2
76;0.0001335174897253398;300;4;michalewicz;de_best_2
77;0.0001335174897253398;300;4;michalewicz;de_best_2
78;0.0001335174897253398;300;4;michalewicz;de_best_2
79;0.0001335174897253398;300;4;michalewicz;de_best_2
80;0.0001335174897253398;300;4;michalewicz;de_best_2
81;0.0001335174897253398;300;4;michalewicz;de_best_2
82;0.0001335174897253398;300;4;michalewicz;de_best_2
83;0.0001335174897253398;300;4;michalewicz;de_best_2
84;0.0001335174897253398;300;4;michalewicz;de_best_2
85;0.0001335174897253398;300;4;michalewicz;de_best_2
86;0.0001335174897253398;300;4;michalewicz;de_best_2
87;0.0001335174897253398;300;4;michalewicz;de_best_2
88;0.0001335174897253398;300;4;michalewicz;de_best_2
89;1.559572981094104e-05;300;4;michalewicz;de_best_2
90;1.559572981094104e-05;300;4;michalewicz;de_best_2
91;1.559572981094104e-05;300;4;michalewicz;de_best_2
92;1.559572981094104e-05;300;4;michalewicz;de_best_2
93;1.559572981094104e-05;300;4;michalewicz;de_best_2
94;1.559572981094104e-05;300;4;michalewicz;de_best_2
95;1.559572981094104e-05;300;4;michalewicz;de_best_2
96;1.559572981094104e-05;300;4;michalewicz;de_best_2
97;1.559572981094104e-05;300;4;michalewicz;de_best_2
98;1.559572981094104e-05;300;4;michalewicz;de_best_2
99;1.559572981094104e-05;300;4;michalewicz;de_best_2
0;0.0008347892361783987;500;4;michalewicz;de_best_2
1;7.784928736050134e-05;500;4;michalewicz;de_best_2
2;7.784928736050134e-05;500;4;michalewicz;de_best_2
3;7.784928736050134e-05;500;4;michalewicz;de_best_2
4;7.784928736050134e-05;500;4;michalewicz;de_best_2
5;7.784928736050134e-05;500;4;michalewicz;de_best_2
6;7.784928736050134e-05;500;4;michalewicz;de_best_2
7;3.249981745663544e-05;500;4;michalewicz;de_best_2
8;3.249981745663544e-05;500;4;michalewicz;de_best_2
9;3.249981745663544e-05;500;4;michalewicz;de_best_2
10;3.249981745663544e-05;500;4;michalewicz;de_best_2
11;3.249981745663544e-05;500;4;michalewicz;de_best_2
12;3.249981745663544e-05;500;4;michalewicz;de_best_2
13;3.249981745663544e-05;500;4;michalewicz;de_best_2
14;3.249981745663544e-05;500;4;michalewicz;de_best_2
15;3.249981745663544e-05;500;4;michalewicz;de_best_2
16;3.249981745663544e-05;500;4;michalewicz;de_best_2
17;3.249981745663544e-05;500;4;michalewicz;de_best_2
18;3.249981745663544e-05;500;4;michalewicz;de_best_2
19;3.249981745663544e-05;500;4;michalewicz;de_best_2
20;3.249981745663544e-05;500;4;michalewicz;de_best_2
21;3.249981745663544e-05;500;4;michalewicz;de_best_2
22;3.249981745663544e-05;500;4;michalewicz;de_best_2
23;3.249981745663544e-05;500;4;michalewicz;de_best_2
24;3.249981745663544e-05;500;4;michalewicz;de_best_2
25;3.249981745663544e-05;500;4;michalewicz;de_best_2
26;3.249981745663544e-05;500;4;michalewicz;de_best_2
27;3.249981745663544e-05;500;4;michalewicz;de_best_2
28;3.249981745663544e-05;500;4;michalewicz;de_best_2
29;3.249981745663544e-05;500;4;michalewicz;de_best_2
30;3.249981745663544e-05;500;4;michalewicz;de_best_2
31;3.249981745663544e-05;500;4;michalewicz;de_best_2
32;3.249981745663544e-05;500;4;michalewicz;de_best_2
33;3.249981745663544e-05;500;4;michalewicz;de_best_2
34;3.249981745663544e-05;500;4;michalewicz;de_best_2
35;3.249981745663544e-05;500;4;michalewicz;de_best_2
36;3.249981745663544e-05;500;4;michalewicz;de_best_2
37;3.249981745663544e-05;500;4;michalewicz;de_best_2
38;3.249981745663544e-05;500;4;michalewicz;de_best_2
39;3.249981745663544e-05;500;4;michalewicz;de_best_2
40;3.249981745663544e-05;500;4;michalewicz;de_best_2
41;3.249981745663544e-05;500;4;michalewicz;de_best_2
42;3.249981745663544e-05;500;4;michalewicz;de_best_2
43;3.249981745663544e-05;500;4;michalewicz;de_best_2
44;3.249981745663544e-05;500;4;michalewicz;de_best_2
45;3.249981745663544e-05;500;4;michalewicz;de_best_2
46;3.249981745663544e-05;500;4;michalewicz;de_best_2
47;3.249981745663544e-05;500;4;michalewicz;de_best_2
48;3.249981745663544e-05;500;4;michalewicz;de_best_2
49;3.249981745663544e-05;500;4;michalewicz;de_best_2
50;3.249981745663544e-05;500;4;michalewicz;de_best_2
51;3.249981745663544e-05;500;4;michalewicz;de_best_2
52;3.249981745663544e-05;500;4;michalewicz;de_best_2
53;3.249981745663544e-05;500;4;michalewicz;de_best_2
54;3.249981745663544e-05;500;4;michalewicz;de_best_2
55;3.249981745663544e-05;500;4;michalewicz;de_best_2
56;3.249981745663544e-05;500;4;michalewicz;de_best_2
57;3.249981745663544e-05;500;4;michalewicz;de_best_2
58;3.249981745663544e-05;500;4;michalewicz;de_best_2
59;3.249981745663544e-05;500;4;michalewicz;de_best_2
60;3.249981745663544e-05;500;4;michalewicz;de_best_2
61;3.249981745663544e-05;500;4;michalewicz;de_best_2
62;3.249981745663544e-05;500;4;michalewicz;de_best_2
63;3.249981745663544e-05;500;4;michalewicz;de_best_2
64;3.249981745663544e-05;500;4;michalewicz;de_best_2
65;3.249981745663544e-05;500;4;michalewicz;de_best_2
